2026 여름 < AI 100인 챌린지 > 로드맵							
단계	No.	세부 단계명	일시/기간	시간	진행 장소	담당 강사 / 운영	비고
참가 신청	▶	온라인 참가 신청	~ 06.22(월) 	15:00	온라인	연세대 & PM	100인 (트랙별 35인 내외)
사전 안내	-	참가자 안내	06.22(월) 	16:00	온라인 (이메일/문자)	PM	100인
STEP 01	01	챌린지 설명회	06.23(화) 	14:00	온라인	모두연 김승일 대표	100인
STEP 02	02-①	디자인씽킹(DT) 워크숍	06.24(화)	 10:00 ~ 13:00 (2H)	오프라인	키키님	100인 (트랙별 35인 내외)
STEP 02	02-②	아이디어톤	06.24(화)	13:00 ~ 16:00 (4H)	오프라인	키키님 + DT 멘토 3인	100인 (트랙별 35인 내외)
사전 안내	-	챌린저 60인 공개	06.26(금)	16:00	온라인 (이메일/문자)	PM	
STEP 03	04-W1	현장워크숍 1차	07.07(화) ~ 07.09(목)	10:00~15:00 (4H) ※ 10:00 ~ 11:00 (1H) 전체 과정 소개 및 아이스브레이킹(DT)	오프라인	주강사 (트랙별) + 키키님(DT)	60인 (트랙별 20인)
STEP 03	04-W2	현장워크숍 2차	07.14(화) ~ 07.16(목)	10:00~15:00 (4H)	오프라인	키키님 (트랙별 전일) 주강사 (트랙별)	60인 (트랙별 20인)
STEP 03	04-W3	현장워크숍 3차	07.21(화) ~ 07.23(목)	10:00~15:00 (4H) ※ 15:00 ~ 16:00 (1H) 8월 멘토링 해커톤 기간 개인 프로젝트 계획	오프라인	주강사 (트랙별) + 키키님(DT)	60인 (트랙별 20인)
STEP 04	05	디자인씽킹 및 기술 워크숍	08. 05(수)	10:00~13:00 (3H)	오프라인	키키님  + DT 멘토 0인 + 기술 멘토 3인	60인
STEP 06	06	실행 + 멘토링	8월 둘째주 + 셋째주	주별 레포트 제출	온라인 (단톡방 운영)	주강사 (트랙별)  + 키키님	60인
STEP 07	07	성과 공유회 + 네트워킹	9월 첫째주	미정(3H)	오프라인 (Y-벨리)	김승일 대표님, 키키님  + 주강사 3인	60인 *끝까지 완주했다면, 다양한 이름들로  모두 수상할 수 있게끔 예정
