No,코드,세부 코드,시트 링크,최종 소개서,키워드 구분,과정 명,권장 대상,AX 단계,소요 시간,작성자,대표 사례,레퍼런스 기업,업종,교육대상,제작년도,소개서,상세 키워드,추가 제안,사업 url,비고
11,R-개-2,R-개-2-001,https://docs.google.com/spreadsheets/d/13V2PPGkYNim0vO3oMujukTVH_m-rV5NtFRIjS9tqDd0/edit?gid=1455494602#gid=1455494602,https://drive.google.com/file/d/1g6uh__D6g6vJvZ2FRXKJH14MFGwwPX9H/view?usp=drive_link,R&D,개발자 AI코딩 역량강화 과정,개발자,2단계,11,이은경,아이디노(2025),중소기업,,,2025,반영 완료,,,,
6,자-개-3,자-개-3-001,https://docs.google.com/spreadsheets/d/13V2PPGkYNim0vO3oMujukTVH_m-rV5NtFRIjS9tqDd0/edit?gid=1569130624#gid=1569130624,https://drive.google.com/file/d/1xreFS_xD1yKLn9v7Tk6kvVSUgz6yieBy/view?usp=drive_link,자동화/에이전트,생성형 AI 서비스 개발 및 LLMOps 실무 과정,개발자,3단계,72,김도희,SK텔레콤(2025),대기업,,,2025,반영 완료,,,,
4,R-개-1,R-개-1-001,https://docs.google.com/spreadsheets/d/13V2PPGkYNim0vO3oMujukTVH_m-rV5NtFRIjS9tqDd0/edit?gid=660016767#gid=660016767,,R&D,개발자를 위한 프롬프트 엔지니어링 과정 ,개발자,1단계,0,이은경,카카오 AI Advanced(2025),대기업,,,2025,,,,,
18,바-개-1,바-개-1-001,https://docs.google.com/spreadsheets/d/13V2PPGkYNim0vO3oMujukTVH_m-rV5NtFRIjS9tqDd0/edit?gid=34583852#gid=34583852,,바이브코딩/AI코딩,바이브코딩 : Cursor 100%활용하기,개발자,1단계,8,김영광,룰루닷에이아이(2026),,,,2026,반영 X,#cursor #바이브코딩 #Agent #자동화,,,
15,R-개-2,R-개-2-002,https://docs.google.com/spreadsheets/d/13V2PPGkYNim0vO3oMujukTVH_m-rV5NtFRIjS9tqDd0/edit?gid=1945571125#gid=1945571125,,R&D,개발자 대상 AI Agent 과정,개발자,2단계,24,이은경,카카오 AI Basic(2025),대기업,,,2025,,,,,
20,기-개-2,기-개-2-001,https://docs.google.com/spreadsheets/d/13V2PPGkYNim0vO3oMujukTVH_m-rV5NtFRIjS9tqDd0/edit?gid=456784045#gid=456784045,,기타,ROS2 기반 자율주행 로봇 개발 실습 과정,개발자,2단계,32,김영광,한양대 ERICA(2026),학교,,,2026,,,,,
24,기-개-2,기-개-2-002,https://docs.google.com/spreadsheets/d/13V2PPGkYNim0vO3oMujukTVH_m-rV5NtFRIjS9tqDd0/edit?gid=1372913782#gid=1372913782,,기타,AI 윤리·보안 거버넌스 실무 과정                ,개발자,2단계,4,이은경,카카오엔터테인먼트,대기업,,,이은경,,,,,
26,R-개-2,R-개-2-003,https://docs.google.com/spreadsheets/d/13V2PPGkYNim0vO3oMujukTVH_m-rV5NtFRIjS9tqDd0/edit?gid=1238713488#gid=1238713488,,R&D,RAG를 활용한 고급 챗봇 개발,개발자,2단계,21,김영광,LG전자 LLM 과정 - RAG를 활용한 고급 챗봇 개발,대기업,,,2025,,,,,
27,R-개-4,R-개-4-001,https://docs.google.com/spreadsheets/d/13V2PPGkYNim0vO3oMujukTVH_m-rV5NtFRIjS9tqDd0/edit?gid=475137806#gid=475137806,,R&D,업그레이된 랭체인으로 구현하는 AI Agent 과정,개발자,4단계,0,이은경,카카오 Agentic System,대기업,,,2026,,,,,
31,R-개-3,R-개-3-001,https://docs.google.com/spreadsheets/d/13V2PPGkYNim0vO3oMujukTVH_m-rV5NtFRIjS9tqDd0/edit?gid=1569109984#gid=1569109984,,R&D,파인튜닝 & MLOps 실무 첫걸음,개발자,3단계,20,김영광,삼성전자,대기업,,,2026,,,,,
